date,base_max,base_min,break_max,break_min,direction,break_time,key_point,enter_time,bounds,bounds_time
2019/06/03,10437,10422,10434,10373,down,09:05:00,10393,09:06:00,26,09:15:00
2019/06/04,10480,10454,10463,10438,down,09:40:00,10446,09:42:00,26,10:04:00
2019/06/05,10503,10485,10507,10483,down,09:10:00,10491,09:14:00,26,09:38:00
2019/06/06,10437,10372,10373,10353,down,10:00:00,10359,10:01:00,-26,10:09:00
2019/06/10,10485,10465,10493,10474,up,09:00:00,10487,09:01:00,-26,09:15:00
2019/06/11,10562,10540,10567,10552,up,09:20:00,10562,13:45:00,-26,09:08:00
2019/06/12,10589,10574,10598,10581,up,09:15:00,10593,09:16:00,-26,09:39:00
2019/06/13,10564,10551,10567,10535,up,09:05:00,10557,09:46:00,-26,10:01:00
2019/06/14,10547,10532,10539,10524,down,09:00:00,10529,09:02:00,-26,10:30:00
2019/06/17,10493,10470,10486,10462,down,09:10:00,10470,09:13:00,-26,09:21:00
2019/06/18,10552,10534,10559,10549,up,09:00:00,10556,09:01:00,-26,09:52:00
2019/06/19,10689,10667,10693,10673,up,09:15:00,10687,09:16:00,26,09:33:00
2019/06/20,10581,10567,10583,10571,up,09:55:00,10579,09:57:00,26,11:26:00
2019/06/21,10640,10622,10628,10608,down,09:15:00,10614,09:16:00,15,11:30:00
2019/06/24,10610,10590,10596,10572,down,09:05:00,10580,09:06:00,26,09:22:00
2019/06/25,10623,10608,10612,10598,down,09:20:00,10602,09:21:00,26,10:31:00
2019/06/26,10538,10518,10523,10510,down,09:30:00,10514,09:31:00,1,11:30:00
2019/06/27,10555,10532,10575,10545,up,09:05:00,10565,09:06:00,26,09:15:00
2019/06/28,10623,10607,10613,10593,down,09:20:00,10599,09:21:00,26,09:46:00
