date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/08/01,10651,10627,10660,10644,10656,up,10655,09:01:00,09:00:00,09:00:00,up,10652,26,09:30:00,42,10:06:00,32,11:03:00
2019/08/02,10535,10509,10532,10508,10508,down,10516,09:11:00,09:10:00,09:10:00,down,10508,26,09:16:00,75,10:36:00,11,09:28:00
2019/08/05,10435,10414,10456,10430,10448,up,10448,09:06:00,09:05:00,09:04:00,up,10436,-26,09:19:00,12,09:07:00,89,11:30:00
2019/08/06,10155,10095,10175,10149,10157,up,10167,09:06:00,09:05:00,09:04:00,up,10156,26,09:18:00,177,11:23:00,21,09:12:00
2019/08/07,10352,10325,10375,10347,10374,up,10366,09:06:00,09:05:00,09:04:00,up,10353,-26,09:12:00,9,09:06:00,65,10:43:00
2019/08/08,10376,10342,10392,10366,10388,up,10384,,09:20:00,09:19:00,up,10377,,,,,,
2019/08/12,10470,10380,10476,10462,10471,up,10472,,10:25:00,10:19:00,up,10471,,,,,,
2019/08/13,10397,10381,10398,10367,10367,down,10377,09:12:00,09:10:00,09:04:00,up,10398,26,09:58:00,58,10:05:00,17,09:21:00
2019/08/14,10463,10446,10480,10458,10476,up,10473,09:06:00,09:05:00,09:04:00,up,10464,-26,10:33:00,19,09:16:00,27,10:33:00
2019/08/15,10298,10242,10323,10292,10304,up,10313,09:26:00,09:25:00,09:24:00,up,10299,-26,09:31:00,22,09:56:00,31,09:31:00
2019/08/16,10317,10291,10340,10312,10339,up,10331,,10:10:00,09:04:00,up,10318,,,,,,
2019/08/19,10444,10419,10449,10433,10446,up,10444,09:44:00,09:40:00,09:09:00,up,10445,26,10:42:00,45,11:04:00,15,09:47:00
2019/08/20,10491,10478,10499,10485,10498,up,10495,09:18:00,09:05:00,09:04:00,up,10492,26,10:38:00,35,11:11:00,10,09:37:00
2019/08/21,10524,10505,10527,10514,10526,up,10523,09:25:00,09:10:00,09:10:00,up,10525,9,11:30:00,19,10:17:00,9,09:56:00
2019/08/22,10545,10530,10557,10539,10549,up,10551,09:11:00,09:10:00,09:04:00,up,10546,-26,09:55:00,13,09:34:00,87,11:13:00
2019/08/23,10490,10476,10480,10469,10475,down,10472,09:31:00,09:30:00,09:19:00,up,10491,-26,10:58:00,12,09:35:00,41,11:11:00
2019/08/26,10353,10321,10327,10306,10306,down,10313,,10:10:00,09:39:00,down,10320,,,,,,
2019/08/27,10390,10366,10370,10358,10364,down,10362,,10:05:00,10:04:00,down,10365,,,,,,
2019/08/28,10406,10388,10410,10402,10409,up,10408,09:11:00,09:10:00,09:09:00,up,10407,26,09:29:00,30,09:31:00,15,11:10:00
2019/08/30,10532,10517,10543,10525,10541,up,10537,,09:15:00,09:05:00,up,10533,,,,,,
